id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,metode_kb,jenis_kb,jumlah_peserta,satuan,tahun
151,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NON MKJP,OBAT VAGINA,0,ORANG,2018
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NON MKJP,PIL,51665,ORANG,2018
153,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NON MKJP,SUNTIK,147682,ORANG,2018
154,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MKJP,IMPLAN,5534,ORANG,2018
155,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MKJP,IUD,5294,ORANG,2018
156,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MKJP,MOP,232,ORANG,2018
157,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MKJP,MOW,2276,ORANG,2018
158,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NON MKJP,KONDOM,1289,ORANG,2018
159,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NON MKJP,LAINNYA,0,ORANG,2018
160,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NON MKJP,OBAT VAGINA,0,ORANG,2018
161,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NON MKJP,PIL,15511,ORANG,2018
162,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NON MKJP,SUNTIK,33311,ORANG,2018
163,32,JAWA BARAT,3271,KOTA BOGOR,MKJP,IMPLAN,6852,ORANG,2018
164,32,JAWA BARAT,3271,KOTA BOGOR,MKJP,IUD,23121,ORANG,2018
165,32,JAWA BARAT,3271,KOTA BOGOR,MKJP,MOP,437,ORANG,2018
166,32,JAWA BARAT,3271,KOTA BOGOR,MKJP,MOW,4315,ORANG,2018
167,32,JAWA BARAT,3271,KOTA BOGOR,NON MKJP,KONDOM,4274,ORANG,2018
168,32,JAWA BARAT,3271,KOTA BOGOR,NON MKJP,LAINNYA,0,ORANG,2018
169,32,JAWA BARAT,3271,KOTA BOGOR,NON MKJP,OBAT VAGINA,0,ORANG,2018
170,32,JAWA BARAT,3271,KOTA BOGOR,NON MKJP,PIL,22776,ORANG,2018
171,32,JAWA BARAT,3271,KOTA BOGOR,NON MKJP,SUNTIK,58435,ORANG,2018
172,32,JAWA BARAT,3272,KOTA SUKABUMI,MKJP,IMPLAN,4318,ORANG,2018
173,32,JAWA BARAT,3272,KOTA SUKABUMI,MKJP,IUD,5678,ORANG,2018
174,32,JAWA BARAT,3272,KOTA SUKABUMI,MKJP,MOP,161,ORANG,2018
175,32,JAWA BARAT,3272,KOTA SUKABUMI,MKJP,MOW,1240,ORANG,2018
176,32,JAWA BARAT,3272,KOTA SUKABUMI,NON MKJP,KONDOM,1269,ORANG,2018
177,32,JAWA BARAT,3272,KOTA SUKABUMI,NON MKJP,LAINNYA,0,ORANG,2018
178,32,JAWA BARAT,3272,KOTA SUKABUMI,NON MKJP,OBAT VAGINA,0,ORANG,2018
179,32,JAWA BARAT,3272,KOTA SUKABUMI,NON MKJP,PIL,9950,ORANG,2018
180,32,JAWA BARAT,3272,KOTA SUKABUMI,NON MKJP,SUNTIK,19814,ORANG,2018
181,32,JAWA BARAT,3273,KOTA BANDUNG,MKJP,IMPLAN,6859,ORANG,2018
182,32,JAWA BARAT,3273,KOTA BANDUNG,MKJP,IUD,101047,ORANG,2018
183,32,JAWA BARAT,3273,KOTA BANDUNG,MKJP,MOP,735,ORANG,2018
184,32,JAWA BARAT,3273,KOTA BANDUNG,MKJP,MOW,11972,ORANG,2018
185,32,JAWA BARAT,3273,KOTA BANDUNG,NON MKJP,KONDOM,7086,ORANG,2018
186,32,JAWA BARAT,3273,KOTA BANDUNG,NON MKJP,LAINNYA,0,ORANG,2018
187,32,JAWA BARAT,3273,KOTA BANDUNG,NON MKJP,OBAT VAGINA,0,ORANG,2018
188,32,JAWA BARAT,3273,KOTA BANDUNG,NON MKJP,PIL,43478,ORANG,2018
189,32,JAWA BARAT,3273,KOTA BANDUNG,NON MKJP,SUNTIK,116294,ORANG,2018
190,32,JAWA BARAT,3274,KOTA CIREBON,MKJP,IMPLAN,1263,ORANG,2018
191,32,JAWA BARAT,3274,KOTA CIREBON,MKJP,IUD,3539,ORANG,2018
192,32,JAWA BARAT,3274,KOTA CIREBON,MKJP,MOP,99,ORANG,2018
193,32,JAWA BARAT,3274,KOTA CIREBON,MKJP,MOW,2275,ORANG,2018
194,32,JAWA BARAT,3274,KOTA CIREBON,NON MKJP,KONDOM,441,ORANG,2018
195,32,JAWA BARAT,3274,KOTA CIREBON,NON MKJP,LAINNYA,0,ORANG,2018
196,32,JAWA BARAT,3274,KOTA CIREBON,NON MKJP,OBAT VAGINA,0,ORANG,2018
197,32,JAWA BARAT,3274,KOTA CIREBON,NON MKJP,PIL,3272,ORANG,2018
198,32,JAWA BARAT,3274,KOTA CIREBON,NON MKJP,SUNTIK,16007,ORANG,2018
199,32,JAWA BARAT,3275,KOTA BEKASI,MKJP,IMPLAN,22217,ORANG,2018
200,32,JAWA BARAT,3275,KOTA BEKASI,MKJP,IUD,64173,ORANG,2018
201,32,JAWA BARAT,3275,KOTA BEKASI,MKJP,MOP,2301,ORANG,2018
202,32,JAWA BARAT,3275,KOTA BEKASI,MKJP,MOW,9541,ORANG,2018
203,32,JAWA BARAT,3275,KOTA BEKASI,NON MKJP,KONDOM,10929,ORANG,2018
204,32,JAWA BARAT,3275,KOTA BEKASI,NON MKJP,LAINNYA,0,ORANG,2018
205,32,JAWA BARAT,3275,KOTA BEKASI,NON MKJP,OBAT VAGINA,0,ORANG,2018
206,32,JAWA BARAT,3275,KOTA BEKASI,NON MKJP,PIL,74976,ORANG,2018
207,32,JAWA BARAT,3275,KOTA BEKASI,NON MKJP,SUNTIK,153282,ORANG,2018
208,32,JAWA BARAT,3276,KOTA DEPOK,MKJP,IMPLAN,14531,ORANG,2018
209,32,JAWA BARAT,3276,KOTA DEPOK,MKJP,IUD,42053,ORANG,2018
210,32,JAWA BARAT,3276,KOTA DEPOK,MKJP,MOP,1106,ORANG,2018
211,32,JAWA BARAT,3276,KOTA DEPOK,MKJP,MOW,6894,ORANG,2018
212,32,JAWA BARAT,3276,KOTA DEPOK,NON MKJP,KONDOM,11356,ORANG,2018
213,32,JAWA BARAT,3276,KOTA DEPOK,NON MKJP,LAINNYA,0,ORANG,2018
214,32,JAWA BARAT,3276,KOTA DEPOK,NON MKJP,OBAT VAGINA,0,ORANG,2018
215,32,JAWA BARAT,3276,KOTA DEPOK,NON MKJP,PIL,61198,ORANG,2018
216,32,JAWA BARAT,3276,KOTA DEPOK,NON MKJP,SUNTIK,116908,ORANG,2018
217,32,JAWA BARAT,3277,KOTA CIMAHI,MKJP,IMPLAN,778,ORANG,2018
218,32,JAWA BARAT,3277,KOTA CIMAHI,MKJP,IUD,19170,ORANG,2018
219,32,JAWA BARAT,3277,KOTA CIMAHI,MKJP,MOP,212,ORANG,2018
220,32,JAWA BARAT,3277,KOTA CIMAHI,MKJP,MOW,2958,ORANG,2018
221,32,JAWA BARAT,3277,KOTA CIMAHI,NON MKJP,KONDOM,1409,ORANG,2018
222,32,JAWA BARAT,3277,KOTA CIMAHI,NON MKJP,LAINNYA,0,ORANG,2018
223,32,JAWA BARAT,3277,KOTA CIMAHI,NON MKJP,OBAT VAGINA,0,ORANG,2018
224,32,JAWA BARAT,3277,KOTA CIMAHI,NON MKJP,PIL,9832,ORANG,2018
225,32,JAWA BARAT,3277,KOTA CIMAHI,NON MKJP,SUNTIK,38132,ORANG,2018
226,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MKJP,IMPLAN,2793,ORANG,2018
227,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MKJP,IUD,12888,ORANG,2018
228,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MKJP,MOP,106,ORANG,2018
229,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MKJP,MOW,1620,ORANG,2018
230,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NON MKJP,KONDOM,1451,ORANG,2018
231,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NON MKJP,LAINNYA,0,ORANG,2018
232,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NON MKJP,OBAT VAGINA,0,ORANG,2018
233,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NON MKJP,PIL,17853,ORANG,2018
234,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NON MKJP,SUNTIK,57499,ORANG,2018
235,32,JAWA BARAT,3279,KOTA BANJAR,MKJP,IMPLAN,3136,ORANG,2018
236,32,JAWA BARAT,3279,KOTA BANJAR,MKJP,IUD,2591,ORANG,2018
237,32,JAWA BARAT,3279,KOTA BANJAR,MKJP,MOP,459,ORANG,2018
238,32,JAWA BARAT,3279,KOTA BANJAR,MKJP,MOW,1157,ORANG,2018
239,32,JAWA BARAT,3279,KOTA BANJAR,NON MKJP,KONDOM,779,ORANG,2018
240,32,JAWA BARAT,3279,KOTA BANJAR,NON MKJP,LAINNYA,0,ORANG,2018
241,32,JAWA BARAT,3279,KOTA BANJAR,NON MKJP,OBAT VAGINA,0,ORANG,2018
242,32,JAWA BARAT,3279,KOTA BANJAR,NON MKJP,PIL,6377,ORANG,2018
243,32,JAWA BARAT,3279,KOTA BANJAR,NON MKJP,SUNTIK,12463,ORANG,2018
